,0,1,2,3,4,5,6,7,8,9,10,11,12
204,3,0,0,0,0,1,0,0,0,0,0,f,0
205,4,0,0,1,1,1,1,1,0,0,0,f,0
206,5,0,0,0,0,1,0,0,0,0,0,f,0
207,6,0,0,0,0,1,0,0,0,0,0,f,0
208,7,0,0,0,0,1,0,0,0,0,0,f,0
209,8,0,0,0,0,1,0,0,0,0,0,f,0
210,9,0,0,0,0,0,0,0,0,0,0,f,0
211,0,0,0,0,0,0,0,0,0,0,0,b,0
212,1,0,0,1,0,0,0,0,0,0,0,b,0
213,2,0,0,1,0,0,0,0,0,0,0,b,0
214,3,0,0,1,0,0,0,0,0,0,0,b,0
215,4,0,0,1,1,1,1,1,0,0,0,b,0
216,5,0,0,1,0,0,0,0,1,0,0,b,0
217,6,0,0,1,0,0,0,0,1,0,0,b,0
218,7,0,0,1,0,0,0,0,1,0,0,b,0
219,8,0,0,1,1,1,1,1,0,0,0,b,0
220,9,0,0,0,0,0,0,0,0,0,0,b,0
221,0,0,0,0,0,0,0,0,0,0,0,d,0
222,1,0,0,0,0,0,0,0,1,0,0,d,0
223,2,0,0,0,0,0,0,0,1,0,0,d,0
224,3,0,0,0,0,0,0,0,1,0,0,d,0
225,4,0,0,0,1,1,1,1,1,0,0,d,0
226,5,0,0,1,0,0,0,0,1,0,0,d,0
227,6,0,0,1,0,0,0,0,1,0,0,d,0
228,7,0,0,1,0,0,0,0,1,0,0,d,0
229,8,0,0,0,1,1,1,1,1,0,0,d,0
230,9,0,0,0,0,0,0,0,0,0,0,d,0
231,0,0,0,0,0,0,0,0,0,0,0,f,0
232,1,0,0,0,0,0,1,1,0,0,0,f,0
233,2,0,0,0,0,1,0,0,0,0,0,f,0
234,3,0,0,0,0,1,0,0,0,0,0,f,0
235,4,0,0,1,1,1,1,1,0,0,0,f,0
236,5,0,0,0,0,1,0,0,0,0,0,f,0
237,6,0,0,0,0,1,0,0,0,0,0,f,0
238,7,0,0,0,0,1,0,0,0,0,0,f,0
239,8,0,0,0,0,1,0,0,0,0,0,f,0
240,9,0,0,0,0,0,0,0,0,0,0,f,0
241,0,0,0,0,0,0,0,0,0,0,0,b,0
242,1,0,0,1,0,0,0,0,0,0,0,b,0
243,2,0,0,1,0,0,0,0,0,0,0,b,0
244,3,0,0,1,0,0,0,0,0,0,0,b,0
245,4,0,0,1,1,1,1,1,0,0,0,b,0
246,5,0,0,1,0,0,0,0,1,0,0,b,0
247,6,0,0,1,0,0,0,0,1,0,0,b,0
248,7,0,0,1,0,0,0,0,1,0,0,b,0
249,8,0,0,1,1,1,1,1,0,0,0,b,0
250,9,0,0,0,0,0,0,0,0,0,0,b,0
251,0,0,0,0,0,0,0,0,0,0,0,d,0
252,1,0,0,0,0,0,0,0,1,0,0,d,0
253,2,0,0,0,0,0,0,0,1,0,0,d,0
254,3,0,0,0,0,0,0,0,1,0,0,d,0
255,4,0,0,0,1,1,1,1,1,0,0,d,0
256,5,0,0,1,0,0,0,0,1,0,0,d,0
257,6,0,0,1,0,0,0,0,1,0,0,d,0
258,7,0,0,1,0,0,0,0,1,0,0,d,0
259,8,0,0,0,1,1,1,1,1,0,0,d,0
260,9,0,0,0,0,0,0,0,0,0,0,d,0
261,0,0,0,0,0,0,0,0,0,0,0,f,0
262,1,0,0,0,0,0,1,1,0,0,0,f,0
263,2,0,0,0,0,1,0,0,0,0,0,f,0
264,3,0,0,0,0,1,0,0,0,0,0,f,0
265,4,0,0,1,1,1,1,1,0,0,0,f,0
266,5,0,0,0,0,1,0,0,0,0,0,f,0
267,6,0,0,0,0,1,0,0,0,0,0,f,0
268,7,0,0,0,0,1,0,0,0,0,0,f,0
269,8,0,0,0,0,1,0,0,0,0,0,f,0
270,9,0,0,0,0,0,0,0,0,0,0,f,0
271,0,0,0,0,0,0,0,0,0,0,0,b,0
272,1,0,0,1,0,0,0,0,0,0,0,b,0
273,2,0,0,1,0,0,0,0,0,0,0,b,0
274,3,0,0,1,0,0,0,0,0,0,0,b,0
275,4,0,0,1,1,1,1,1,0,0,0,b,0
276,5,0,0,1,0,0,0,0,1,0,0,b,0
277,6,0,0,1,0,0,0,0,1,0,0,b,0
278,7,0,0,1,0,0,0,0,1,0,0,b,0
279,8,0,0,1,1,1,1,1,0,0,0,b,0
280,9,0,0,0,0,0,0,0,0,0,0,b,0
281,0,0,0,0,0,0,0,0,0,0,0,d,0
282,1,0,0,0,0,0,0,0,1,0,0,d,0
283,2,0,0,0,0,0,0,0,1,0,0,d,0
284,3,0,0,0,0,0,0,0,1,0,0,d,0
285,4,0,0,0,1,1,1,1,1,0,0,d,0
286,5,0,0,1,0,0,0,0,1,0,0,d,0
287,6,0,0,1,0,0,0,0,1,0,0,d,0
288,7,0,0,1,0,0,0,0,1,0,0,d,0
289,8,0,0,0,1,1,1,1,1,0,0,d,0
290,9,0,0,0,0,0,0,0,0,0,0,d,0
291,0,0,0,0,0,0,0,0,0,0,0,f,0
292,1,0,0,0,0,0,1,1,0,0,0,f,0
293,2,0,0,0,0,1,0,0,0,0,0,f,0
294,3,0,0,0,0,1,0,0,0,0,0,f,0
295,4,0,0,1,1,1,1,1,0,0,0,f,0
296,5,0,0,0,0,1,0,0,0,0,0,f,0
297,6,0,0,0,0,1,0,0,0,0,0,f,0
298,7,0,0,0,0,1,0,0,0,0,0,f,0
299,8,0,0,0,0,1,0,0,0,0,0,f,0
300,9,0,0,0,0,0,0,0,0,0,0,f,0
301,0,0,0,0,0,0,0,0,0,0,0,b,0
302,1,0,0,1,0,0,0,0,0,0,0,b,0
303,2,0,0,1,0,0,0,0,0,0,0,b,0
304,3,0,0,1,0,0,0,0,0,0,0,b,0
305,4,0,0,1,1,1,1,1,0,0,0,b,0
306,5,0,0,1,0,0,0,0,1,0,0,b,0
307,6,0,0,1,0,0,0,0,1,0,0,b,0
308,7,0,0,1,0,0,0,0,1,0,0,b,0
309,8,0,0,1,1,1,1,1,0,0,0,b,0
310,9,0,0,0,0,0,0,0,0,0,0,b,0
311,0,0,0,0,0,0,0,0,0,0,0,d,0
312,1,0,0,0,0,0,0,0,1,0,0,d,0
313,2,0,0,0,0,0,0,0,1,0,0,d,0
314,3,0,0,0,0,0,0,0,1,0,0,d,0
315,4,0,0,0,1,1,1,1,1,0,0,d,0
316,5,0,0,1,0,0,0,0,1,0,0,d,0
317,6,0,0,1,0,0,0,0,1,0,0,d,0
318,7,0,0,1,0,0,0,0,1,0,0,d,0
319,8,0,0,0,1,1,1,1,1,0,0,d,0
320,9,0,0,0,0,0,0,0,0,0,0,d,0
321,0,0,0,0,0,0,0,0,0,0,0,f,0
322,1,0,0,0,0,0,1,1,0,0,0,f,0
323,2,0,0,0,0,1,0,0,0,0,0,f,0
324,3,0,0,0,0,1,0,0,0,0,0,f,0
325,4,0,0,1,1,1,1,1,0,0,0,f,0
326,5,0,0,0,0,1,0,0,0,0,0,f,0
327,6,0,0,0,0,1,0,0,0,0,0,f,0
328,7,0,0,0,0,1,0,0,0,0,0,f,0
329,8,0,0,0,0,1,0,0,0,0,0,f,0
330,9,0,0,0,0,0,0,0,0,0,0,f,0
331,0,0,0,0,0,0,0,0,0,0,0,b,0
332,1,0,0,1,0,0,0,0,0,0,0,b,0
333,2,0,0,1,0,0,0,0,0,0,0,b,0
334,3,0,0,1,0,0,0,0,0,0,0,b,0
335,4,0,0,1,1,1,1,1,0,0,0,b,0
336,5,0,0,1,0,0,0,0,1,0,0,b,0
337,6,0,0,1,0,0,0,0,1,0,0,b,0
338,7,0,0,1,0,0,0,0,1,0,0,b,0
339,8,0,0,1,1,1,1,1,0,0,0,b,0
340,9,0,0,0,0,0,0,0,0,0,0,b,0
341,0,0,0,0,0,0,0,0,0,0,0,d,0
342,1,0,0,0,0,0,0,0,1,0,0,d,0
343,2,0,0,0,0,0,0,0,1,0,0,d,0
344,3,0,0,0,0,0,0,0,1,0,0,d,0
345,4,0,0,0,1,1,1,1,1,0,0,d,0
346,5,0,0,1,0,0,0,0,1,0,0,d,0
347,6,0,0,1,0,0,0,0,1,0,0,d,0
348,7,0,0,1,0,0,0,0,1,0,0,d,0
349,8,0,0,0,1,1,1,1,1,0,0,d,0
350,9,0,0,0,0,0,0,0,0,0,0,d,0
351,0,0,0,0,0,0,0,0,0,0,0,f,0
352,1,0,0,0,0,0,1,1,0,0,0,f,0
353,2,0,0,0,0,1,0,0,0,0,0,f,0
354,3,0,0,0,0,1,0,0,0,0,0,f,0
355,4,0,0,1,1,1,1,1,0,0,0,f,0
356,5,0,0,0,0,1,0,0,0,0,0,f,0
357,6,0,0,0,0,1,0,0,0,0,0,f,0
358,7,0,0,0,0,1,0,0,0,0,0,f,0
359,8,0,0,0,0,1,0,0,0,0,0,f,0
360,9,0,0,0,0,0,0,0,0,0,0,f,0
361,0,0,0,0,0,0,0,0,0,0,0,b,0
362,1,0,0,1,0,0,0,0,0,0,0,b,0
363,2,0,0,1,0,0,0,0,0,0,0,b,0
364,3,0,0,1,0,0,0,0,0,0,0,b,0
365,4,0,0,1,1,1,1,1,0,0,0,b,0
366,5,0,0,1,0,0,0,0,1,0,0,b,0
367,6,0,0,1,0,0,0,0,1,0,0,b,0
368,7,0,0,1,0,0,0,0,1,0,0,b,0
369,8,0,0,1,1,1,1,1,0,0,0,b,0
370,9,0,0,0,0,0,0,0,0,0,0,b,0
371,0,0,0,0,0,0,0,0,0,0,0,d,0
372,1,0,0,0,0,0,0,0,1,0,0,d,0
373,2,0,0,0,0,0,0,0,1,0,0,d,0
374,3,0,0,0,0,0,0,0,1,0,0,d,0
375,4,0,0,0,1,1,1,1,1,0,0,d,0
376,5,0,0,1,0,0,0,0,1,0,0,d,0
377,6,0,0,1,0,0,0,0,1,0,0,d,0
378,7,0,0,1,0,0,0,0,1,0,0,d,0
379,8,0,0,0,1,1,1,1,1,0,0,d,0
380,9,0,0,0,0,0,0,0,0,0,0,d,0
381,0,0,0,0,0,0,0,0,0,0,0,f,0
382,1,0,0,0,0,0,1,1,0,0,0,f,0
383,2,0,0,0,0,1,0,0,0,0,0,f,0
384,3,0,0,0,0,1,0,0,0,0,0,f,0
385,4,0,0,1,1,1,1,1,0,0,0,f,0
386,5,0,0,0,0,1,0,0,0,0,0,f,0
387,6,0,0,0,0,1,0,0,0,0,0,f,0
388,7,0,0,0,0,1,0,0,0,0,0,f,0
389,8,0,0,0,0,1,0,0,0,0,0,f,0
390,9,0,0,0,0,0,0,0,0,0,0,f,0
391,0,0,0,0,0,0,0,0,0,0,0,b,0
392,1,0,0,1,0,0,0,0,0,0,0,b,0
393,2,0,0,1,0,0,0,0,0,0,0,b,0
394,3,0,0,1,0,0,0,0,0,0,0,b,0
395,4,0,0,1,1,1,1,1,0,0,0,b,0
396,5,0,0,1,0,0,0,0,1,0,0,b,0
397,6,0,0,1,0,0,0,0,1,0,0,b,0
398,7,0,0,1,0,0,0,0,1,0,0,b,0
399,8,0,0,1,1,1,1,1,0,0,0,b,0
400,9,0,0,0,0,0,0,0,0,0,0,b,0
401,0,0,0,0,0,0,0,0,0,0,0,d,0
402,1,0,0,0,0,0,0,0,1,0,0,d,0
403,2,0,0,0,0,0,0,0,1,0,0,d,0
404,3,0,0,0,0,0,0,0,1,0,0,d,0
405,4,0,0,0,1,1,1,1,1,0,0,d,0
406,5,0,0,1,0,0,0,0,1,0,0,d,0
407,6,0,0,1,0,0,0,0,1,0,0,d,0
408,7,0,0,1,0,0,0,0,1,0,0,d,0
409,8,0,0,0,1,1,1,1,1,0,0,d,0
410,9,0,0,0,0,0,0,0,0,0,0,d,0
411,0,0,0,0,0,0,0,0,0,0,0,f,0
412,1,0,0,0,0,0,1,1,0,0,0,f,0
413,2,0,0,0,0,1,0,0,0,0,0,f,0
414,3,0,0,0,0,1,0,0,0,0,0,f,0
415,4,0,0,1,1,1,1,1,0,0,0,f,0
416,5,0,0,0,0,1,0,0,0,0,0,f,0
417,6,0,0,0,0,1,0,0,0,0,0,f,0
418,7,0,0,0,0,1,0,0,0,0,0,f,0
419,8,0,0,0,0,1,0,0,0,0,0,f,0
420,9,0,0,0,0,0,0,0,0,0,0,f,0
421,0,0,0,0,0,0,0,0,0,0,0,b,0
422,1,0,0,1,0,0,0,0,0,0,0,b,0
423,2,0,0,1,0,0,0,0,0,0,0,b,0
424,3,0,0,1,0,0,0,0,0,0,0,b,0
425,4,0,0,1,1,1,1,1,0,0,0,b,0
426,5,0,0,1,0,0,0,0,1,0,0,b,0
427,6,0,0,1,0,0,0,0,1,0,0,b,0
428,7,0,0,1,0,0,0,0,1,0,0,b,0
429,8,0,0,1,1,1,1,1,0,0,0,b,0
430,9,0,0,0,0,0,0,0,0,0,0,b,0
431,0,0,0,0,0,0,0,0,0,0,0,d,0
432,1,0,0,0,0,0,0,0,1,0,0,d,0
433,2,0,0,0,0,0,0,0,1,0,0,d,0
434,3,0,0,0,0,0,0,0,1,0,0,d,0
435,4,0,0,0,1,1,1,1,1,0,0,d,0
436,5,0,0,1,0,0,0,0,1,0,0,d,0
437,6,0,0,1,0,0,0,0,1,0,0,d,0
438,7,0,0,1,0,0,0,0,1,0,0,d,0
439,8,0,0,0,1,1,1,1,1,0,0,d,0
440,9,0,0,0,0,0,0,0,0,0,0,d,0
441,0,0,0,0,0,0,0,0,0,0,0,f,0
442,1,0,0,0,0,0,1,1,0,0,0,f,0
443,2,0,0,0,0,1,0,0,0,0,0,f,0
444,3,0,0,0,0,1,0,0,0,0,0,f,0
445,4,0,0,1,1,1,1,1,0,0,0,f,0
446,5,0,0,0,0,1,0,0,0,0,0,f,0
447,6,0,0,0,0,1,0,0,0,0,0,f,0
448,7,0,0,0,0,1,0,0,0,0,0,f,0
449,8,0,0,0,0,1,0,0,0,0,0,f,0
450,9,0,0,0,0,0,0,0,0,0,0,f,0
451,0,0,0,0,0,0,0,0,0,0,0,b,0
452,1,0,0,1,0,0,0,0,0,0,0,b,0
453,2,0,0,1,0,0,0,0,0,0,0,b,0
454,3,0,0,1,0,0,0,0,0,0,0,b,0
455,4,0,0,1,1,1,1,1,0,0,0,b,0
456,5,0,0,1,0,0,0,0,1,0,0,b,0
457,6,0,0,1,0,0,0,0,1,0,0,b,0
458,7,0,0,1,0,0,0,0,1,0,0,b,0
459,8,0,0,1,1,1,1,1,0,0,0,b,0
460,9,0,0,0,0,0,0,0,0,0,0,b,0
461,0,0,0,0,0,0,0,0,0,0,0,d,0
462,1,0,0,0,0,0,0,0,1,0,0,d,0
463,2,0,0,0,0,0,0,0,1,0,0,d,0
464,3,0,0,0,0,0,0,0,1,0,0,d,0
465,4,0,0,0,1,1,1,1,1,0,0,d,0
466,5,0,0,1,0,0,0,0,1,0,0,d,0
467,6,0,0,1,0,0,0,0,1,0,0,d,0
468,7,0,0,1,0,0,0,0,1,0,0,d,0
469,8,0,0,0,1,1,1,1,1,0,0,d,0
470,9,0,0,0,0,0,0,0,0,0,0,d,0
471,0,0,0,0,0,0,0,0,0,0,0,f,0
472,1,0,0,0,0,0,1,1,0,0,0,f,0
473,2,0,0,0,0,1,0,0,0,0,0,f,0
474,3,0,0,0,0,1,0,0,0,0,0,f,0
475,4,0,0,1,1,1,1,1,0,0,0,f,0
476,5,0,0,0,0,1,0,0,0,0,0,f,0
477,6,0,0,0,0,1,0,0,0,0,0,f,0
478,7,0,0,0,0,1,0,0,0,0,0,f,0
479,8,0,0,0,0,1,0,0,0,0,0,f,0
480,9,0,0,0,0,0,0,0,0,0,0,f,0
481,0,0,0,0,0,0,0,0,0,0,0,b,0
482,1,0,0,1,0,0,0,0,0,0,0,b,0
483,2,0,0,1,0,0,0,0,0,0,0,b,0
484,3,0,0,1,0,0,0,0,0,0,0,b,0
485,4,0,0,1,1,1,1,1,0,0,0,b,0
486,5,0,0,1,0,0,0,0,1,0,0,b,0
487,6,0,0,1,0,0,0,0,1,0,0,b,0
488,7,0,0,1,0,0,0,0,1,0,0,b,0
489,8,0,0,1,1,1,1,1,0,0,0,b,0
490,9,0,0,0,0,0,0,0,0,0,0,b,0
491,0,0,0,0,0,0,0,0,0,0,0,d,0
492,1,0,0,0,0,0,0,0,1,0,0,d,0
493,2,0,0,0,0,0,0,0,1,0,0,d,0
494,3,0,0,0,0,0,0,0,1,0,0,d,0
495,4,0,0,0,1,1,1,1,1,0,0,d,0
496,5,0,0,1,0,0,0,0,1,0,0,d,0
